"Latitude","Longitude","Species","DBH"
47.65600045,-122.08939752,"Plum (Prunus species)",6
47.6559903639,-122.089347607,"Plum (Prunus species)",6
47.5915742758,-122.082738585,"Fir, Douglas (Pseudotsuga menziesii)",35
47.6507549849,-122.080542728,"Plum (Prunus species)",4
47.650599836,-122.080420085,"Plum (Prunus species)",5
47.6031974452,-122.077862168,"Plum (Prunus species)",4
47.6030440783,-122.07799194,"Plum (Prunus species)",4
47.6031195599,-122.077933471,"Plum (Prunus species)",4
47.6028363832,-122.078160217,"Plum (Prunus species)",4
47.6028897493,-122.07811387,"Plum (Prunus species)",4
47.6029854237,-122.078039001,"Plum (Prunus species)",4
47.6027479201,-122.078227956,"Plum (Prunus species)",4
47.602596475,-122.077266781,"Maple, Red (Acer rubrum)",5
47.602485415,-122.077218295,"Maple, Red (Acer rubrum)",5
47.6020892508,-122.076770507,"Katsura Tree (Cercidiphyllum japonicum)",7
47.6020921355,-122.076654282,"Katsura Tree (Cercidiphyllum japonicum)",5
47.6024224328,-122.077352346,"Maple, Red (Acer rubrum)",4
47.6022998336,-122.077354485,"Maple, Red (Acer rubrum)",5
47.6020950202,-122.076888159,"Katsura Tree (Cercidiphyllum japonicum)",5
47.6020983857,-122.077010088,"Katsura Tree (Cercidiphyllum japonicum)",6
47.6021709839,-122.07721473,"Maple, Red (Acer rubrum)",6
47.6021003088,-122.077520623,"Katsura Tree (Cercidiphyllum japonicum)",5
47.6021012704,-122.077624726,"Katsura Tree (Cercidiphyllum japonicum)",5
47.6467043077,-122.075551105,"Hornbeam, European (Carpinus betulus)",6
47.6467278459,-122.075564653,"Hornbeam, European (Carpinus betulus)",5
47.6467249637,-122.075531853,"Hornbeam, European (Carpinus betulus)",5
47.5909199434,-122.073945236,"Cedar, Western Red (Thuja plicata)",30
47.5887400983,-122.07303148,"Cedar, Western Red (Thuja plicata)",24
47.588752121,-122.073083532,"Cedar, Western Red (Thuja plicata)",30
47.5888026161,-122.073034332,"Cedar, Western Red (Thuja plicata)",33
47.589163775,-122.073154836,"Cedar, Western Red (Thuja plicata)",35
47.5891190511,-122.073132019,"Cedar, Western Red (Thuja plicata)",35
