"Site ID","Latitude","Longitude","Species","DBH"
3311,47.6026847736,-122.04107909,"Maple, Bigleaf (Acer macrophyllum)",12
3312,47.6027345074,-122.04130338,"Maple, Bigleaf (Acer macrophyllum)",18
3313,47.6027984508,-122.041509606,"Maple, Bigleaf (Acer macrophyllum)",45
3314,47.602712178,-122.04110769,"Maple, Bigleaf (Acer macrophyllum)",25
3315,47.6025589164,-122.04130338,"Alder, Red (Alnus rubra)",7
3316,47.6025051226,-122.041076079,"Cedar, Western Red (Thuja plicata)",40
3317,47.6025203472,-122.041249189,"Alder, Red (Alnus rubra)",7
3318,47.6025660213,-122.041101669,"Cedar, Western Red (Thuja plicata)",44
3319,47.6024208791,-122.041569818,"Cedar, Western Red (Thuja plicata)",45
3320,47.6022442721,-122.041646588,"Cedar, Western Red (Thuja plicata)",40
3321,47.6020047352,-122.042143338,"Cedar, Western Red (Thuja plicata)",25
3322,47.6019783455,-122.041994313,"Fir, Douglas (Pseudotsuga menziesii)",40
3323,47.6021173989,-122.042343543,"Fir, Douglas (Pseudotsuga menziesii)",30
3324,47.6019621056,-122.042108716,"Maple, Bigleaf (Acer macrophyllum)",34
3325,47.6025274521,-122.039331435,"Alder, Red (Alnus rubra)",10
3326,47.6018433517,-122.041986786,"Fir, Douglas (Pseudotsuga menziesii)",30
3327,47.6031775843,-122.043172866,"Fir, Douglas (Pseudotsuga menziesii)",9
3328,47.6033722973,-122.042973929,"Fir, Douglas (Pseudotsuga menziesii)",15
3329,47.6033107584,-122.042968224,"Fir, Douglas (Pseudotsuga menziesii)",13
3330,47.6031453725,-122.043232761,"Fir, Douglas (Pseudotsuga menziesii)",7
3331,47.6034482591,-122.042961094,"Fir, Douglas (Pseudotsuga menziesii)",11
3332,47.6031766228,-122.042918312,"Fir, Douglas (Pseudotsuga menziesii)",11
3333,47.6030083517,-122.042785687,"Fir, Douglas (Pseudotsuga menziesii)",22
3334,47.6034059513,-122.042854851,"Cedar, Deodar (Cedrus deodara)",8
3335,47.6031338339,-122.042908329,"Fir, Douglas (Pseudotsuga menziesii)",33
3336,47.6035685651,-122.042929458,"Fir, Douglas (Pseudotsuga menziesii)",13
3337,47.6033006622,-122.043037389,"Fir, Douglas (Pseudotsuga menziesii)",14
3338,47.6032487388,-122.042935425,"Fir, Douglas (Pseudotsuga menziesii)",10
3339,47.6029597934,-122.042863408,"Fir, Douglas (Pseudotsuga menziesii)",18
3340,47.6034136436,-122.042958242,"Fir, Douglas (Pseudotsuga menziesii)",17
3341,47.6034809516,-122.042947546,"Fir, Douglas (Pseudotsuga menziesii)",11
3342,47.6029819091,-122.042655201,"Fir, Douglas (Pseudotsuga menziesii)",25
3343,47.6031501802,-122.042959668,"Fir, Douglas (Pseudotsuga menziesii)",14
